Date,Close,High,Low,Volume,Argument_Similarity,Sentiment_Variance,Volume_Crowd
2020-01-02,5.963802814483643,5.963802814483643,5.884504609303141,237536000,0.041712766666173406,0.0,26.0
2020-01-03,5.868348121643066,5.912099244033298,5.819376735286252,205384000,0.051677467455697554,0.0,94.0
2020-01-06,5.892956256866455,5.898176519464269,5.74902588859055,262636000,0.03859166669980667,0.816326530612245,21.0
2020-01-07,5.964300155639648,6.010039801296708,5.876301039294927,314856000,0.04785738045859214,0.2980277574872169,86.0
2020-01-08,5.975487232208252,6.0167524399804355,5.920052874364095,277108000,0.05678798164265514,0.2743484224965706,138.0
2020-01-09,6.041112899780273,6.113451228430026,5.987418636459854,255112000,0.04740104644262998,0.2438563327032135,107.0
2020-01-10,6.073430061340332,6.178581626426708,6.0592609099923775,316296000,0.052690420283281456,0.32525510204081626,128.0
2020-01-13,6.263845920562744,6.288952968255434,6.133835764415242,319840000,0.04880909602237554,0.0,30.0
2020-01-14,6.147010803222656,6.246444720752033,6.133835447619546,359088000,0.05689151877178202,0.07270233196159122,160.0
2020-01-15,6.104504108428955,6.182062727968043,6.078651235249259,263104000,0.05877061979119243,0.33984375,97.0
2020-01-16,6.188027858734131,6.1939939419440035,6.134582032493706,284192000,0.04422818507201597,0.6400000000000001,98.0
2020-01-17,6.196727275848389,6.214625522525774,6.149247540649398,253792000,0.041222451453533954,0.24141519250780435,82.0
2020-01-21,6.163417816162109,6.196976854432715,6.129361406762414,217916000,0.06353227310961403,0.0,26.0
2020-01-22,6.217360496520996,6.303867986192193,6.189767541283975,239240000,0.05330226549613416,0.0,50.0
2020-01-23,6.285720348358154,6.294172337265106,6.168637116635187,244516000,0.05465817455788296,0.35217132659131467,111.0
2020-01-24,6.22655725479126,6.450781034287568,6.17236562158241,373512000,0.04492891111142915,0.1961950059453032,146.0
2020-01-27,5.971012592315674,6.021972504994483,5.772890101483585,470536000,0.05353642204714666,0.0,21.0
2020-01-28,6.164162635803223,6.19647847807783,5.98368948838839,310976000,0.040930127822317204,0.47562425683709864,93.0
2020-01-29,6.103757381439209,6.185790426975521,6.063983338200734,258848000,0.05150695125857235,0.15360000000000001,121.0
2020-01-30,6.110469341278076,6.123893147232895,5.951126602523341,290504000,0.04861686074355587,0.4536862003780718,69.0
2020-01-31,5.877296447753906,6.076661675944388,5.835534340017212,370420000,0.0480442761934377,0.36000000000000004,79.0
2020-02-03,5.974242687225342,5.993632094456949,5.8529330083377715,255564000,0.04893635280967133,0.5555555555555554,25.0
2020-02-04,6.143280982971191,6.1624224187891,6.065971316764821,271544000,0.051382736846957745,0.16635160680529304,60.0
2020-02-05,6.233518600463867,6.2742864375752365,6.15024236438546,208220000,0.05234763953610046,0.3175803402646503,82.0
2020-02-06,6.320274353027344,6.320274353027344,6.186784499679763,218284000,0.042257177221282784,0.27434842249657065,66.0
2020-02-07,6.254151821136475,6.302377384992771,6.228795848351484,189752000,0.05055733813413687,0.478395061728395,78.0
2020-02-10,6.5370402336120605,6.537785578987231,6.271799693919792,529608000,0.03633110229474533,0.9600000000000002,27.0
2020-02-11,6.659344673156738,6.7739424891195545,6.58327770993193,638556000,0.06087633169368513,0.16464331136547583,262.0
2020-02-12,6.774936199188232,6.781399652596957,6.673264825343856,374644000,0.05536481680629755,0.5038941398865784,292.0
2020-02-13,6.731184959411621,6.7983030286831045,6.689671306540473,528016000,0.05549868748789948,0.3476331360946745,297.0
2020-02-14,7.2037458419799805,7.332512804476498,7.109532184607518,1041924000,0.06318194198160126,0.34034561092579985,1243.0
2020-02-18,7.372285842895508,7.390681460600546,7.081192901778724,620164000,0.05359345117722782,0.8487654320987654,100.0
