Date,Close,High,Low,Volume,Argument_Similarity,Sentiment_Variance,Volume_Crowd,log_ret,hl_spread,Prob_Regime_0,Prob_Regime_1,Hidden_State
2012-01-04,0.3250797390937805,0.3264533251039208,0.3186697165306442,347372000,0.0,0.0,0.0,0.011331702088466533,0.02413178818575676,1.0,2.0935725219187278e-13,0
2012-01-05,0.3367550373077392,0.3383575629357719,0.3221035576591041,563548000,0.0,0.0,0.0,0.035285270482311684,0.04923011335533719,0.17001285990202286,0.8299871400987282,1
2012-01-06,0.332863301038742,0.3367550911349532,0.3289715109425309,533252000,0.0,0.0,0.0,-0.011623875468133506,0.02338477948088519,0.9409731082620053,0.059026891737596746,0
2012-01-09,0.332863301038742,0.3392733227039466,0.3305740095362052,508244000,0.0,0.0,0.0,0.0,0.02597547793609025,0.9945574568599024,0.0054425431400328675,0
2012-01-10,0.3314897716045379,0.3381287344654289,0.3292004797126125,546328000,0.0,0.0,0.0,-0.004134944046429831,0.02675976816042886,0.9971925930001803,0.0028074069992593733,0
2012-01-11,0.3248507976531982,0.3314897324391903,0.3234772117641267,484272000,0.0,0.0,0.0,-0.020230961487280385,0.024468167421693974,0.994380642382884,0.005619357617091977,0
2012-01-12,0.3227904140949249,0.3257664986173467,0.3156935992561121,652364000,0.0,0.0,0.0,-0.006362752931864085,0.031408742227031126,0.9914008613180363,0.008599138682464091,0
2012-01-13,0.3143199980258941,0.3211878718577712,0.3127174995898905,504300000,0.0,0.0,0.0,-0.026591670872835694,0.026725996741596984,0.9799655661134279,0.020034433886627987,0
2012-01-17,0.3095126450061798,0.3191276954711989,0.3090547919579692,627176000,0.0,0.0,0.0,-0.015412621439909747,0.032072740538521535,0.9771877533518741,0.022812246649028603,0
2012-01-18,0.3200433552265167,0.3225615875628232,0.3138622717443738,632676000,0.0,0.0,0.0,0.03345752416962851,0.02733982252433801,0.9710388823884595,0.028961117612102426,0
2012-01-19,0.3285135626792907,0.3289714427172444,0.3193563985682449,608312000,0.0,0.0,0.0,0.026121652067979926,0.02966323071525344,0.9743672704601435,0.02563272954075895,0
2012-01-20,0.325537621974945,0.331947644590933,0.324392976053894,546272000,0.0,0.0,0.0,-0.00910008669352906,0.023021589573897334,0.9590650448944807,0.04093495510568777,0
2012-01-23,0.3344658613204956,0.3346948014291774,0.3216458156255879,562792000,0.0,0.0,0.0,0.027056778453514115,0.039768087385034824,0.5134721269728565,0.4865278730277341,1
2012-01-24,0.3420205414295196,0.3433941275459642,0.3319476675439707,730920000,0.0,0.0,0.0,0.02233598239100289,0.03390151879036072,0.38796719474738156,0.6120328052518286,1
2012-01-25,0.3399601578712463,0.3408758636698841,0.3232482950767656,1274152000,0.0,0.0,0.0,-0.0060423699061841005,0.05309763152733082,0.01134262659719245,0.9886573734022446,1
2012-01-26,0.3367550373077392,0.3488883130804001,0.33492362623085,799672000,0.0,0.0,0.0,-0.009472654235958795,0.04084932672531259,0.2491395216557335,0.7508604783448329,1
2012-01-27,0.3413337171077728,0.3431651285615119,0.331947610600071,449996000,0.0,0.0,0.0,0.013504867493702683,0.03323459862851247,0.8378462758000151,0.16215372419992616,0
2012-01-30,0.3388154804706573,0.3404179791145097,0.3303450798136368,399076000,0.0,0.0,0.0,-0.007404987473688128,0.030036408408760054,0.9747971153846346,0.025202884615851306,0
2012-01-31,0.3381287157535553,0.3399601546238471,0.3321765462477344,357900000,0.0,0.0,0.0,-0.002029014966209746,0.02316182507426787,0.9945560004136869,0.005443999585933372,0
2012-02-01,0.341791570186615,0.3456833604640262,0.3372129869683643,428020000,0.0,0.0,0.0,0.010774468547405987,0.024808473363905667,0.9617012896350641,0.03829871036472635,0
2012-02-02,0.3546115756034851,0.3559851340454881,0.3401890072836606,696236000,0.0,0.0,0.0,0.036821929845765586,0.04538760475252253,0.40612974228463106,0.5938702577149678,1
2012-02-03,0.3621662557125091,0.3651423400474261,0.3591901713775922,495232000,0.0,0.0,0.0,0.021080339094514528,0.01643527677642205,0.9424705415612517,0.05752945843837251,0
2012-02-06,0.3594191074371338,0.3607926659137619,0.3562140830773218,278868000,0.0,0.0,0.0,-0.007614238559120442,0.012771553623689022,0.9892806185254966,0.01071938147498106,0
2012-02-07,0.3603348731994629,0.3623952249033673,0.3539248507010222,410296000,0.0,0.0,0.0,0.0025446646524283382,0.02365079332422962,0.9470088538190446,0.05299114618164339,0
2012-02-08,0.37338387966156,0.380480668273782,0.3585034548186472,847612000,0.0,0.0,0.0,0.035573255995989116,0.05949707303214517,0.0013268250159346115,0.9986731749837464,1
2012-02-09,0.3731548488140106,0.3800227229373989,0.3724680559435706,561944000,0.0,0.0,0.0,-0.0006135806382143555,0.02007976985014712,0.9466505613147412,0.05334943868597609,0
2012-02-10,0.3639977872371673,0.3708656633213275,0.3619374080376111,440268000,0.0,0.0,0.0,-0.024845689169268218,0.024368612659893412,0.9744211471052345,0.025578852894794578,0
2012-02-13,0.3697209656238556,0.3745284891269275,0.3621662975292468,610668000,0.0,0.0,0.0,0.015600785564353467,0.03356438071847407,0.9714274099846968,0.028572590014999646,0
2012-02-14,0.3717812299728393,0.3749862539860422,0.3665158548222587,453756000,0.0,0.0,0.0,0.005557015644822447,0.022847588782307148,0.9408287626583057,0.05917123734218224,0
2012-02-15,0.3701788187026977,0.3868906809287644,0.3692631129352055,1110856000,0.0,0.0,0.0,-0.004319407128152765,0.0466327417741935,0.055369958897984316,0.9446300411011961,1
2012-02-16,0.3765887022018432,0.3795647857854931,0.3433939573571336,1888588000,0.0,0.0,0.0,0.017167433628505712,0.10014694400337418,7.239218670612692e-21,1.0,1
2012-02-17,0.3628531098365783,0.3793360055547001,0.3594191720915317,1020360000,0.0,0.0,0.0,-0.03715552003712287,0.05393305286930029,3.376801308956225e-05,0.9999662319868448,1
2012-02-21,0.364684522151947,0.3736127487214757,0.3619373503239296,518176000,0.0,0.0,0.0,0.005034560696830816,0.03174869831458027,0.8610396921585786,0.13896030784141938,0
2012-02-22,0.3621662557125091,0.371781274317966,0.3617084028818696,492432000,0.0,0.0,0.0,-0.006929280651051193,0.02746733876434433,0.9856103570754798,0.014389642925031237,0
2012-02-23,0.3642266392707824,0.3662870181264306,0.3571298242521762,323968000,0.0,0.0,0.0,0.005672932921382452,0.02531785956523302,0.9975470010235868,0.002452998976248531,0
2012-02-24,0.3614794313907623,0.365829101129902,0.3598769329776074,366668000,0.0,0.0,0.0,-0.0075711672098556166,0.016404167383709128,0.9983457952922797,0.0016542047072904086,0
2012-02-27,0.3541536927223205,0.35850333502181,0.3491172303243811,745268000,0.0,0.0,0.0,-0.020474162883169868,0.026530193399442816,0.9929961886904026,0.00700381130892464,0
2012-02-28,0.3509488701820373,0.3582746279515736,0.3472859912972692,699884000,0.0,0.0,0.0,-0.009090435287972341,0.031151186591954195,0.9921725850820741,0.007827414917133697,0
2012-02-29,0.3468280136585235,0.3580455591565573,0.3465991008670387,689196000,0.0,0.0,0.0,-0.011811524651943914,0.03249145539116065,0.9899501594335,0.010049840565727733,0
2012-03-01,0.3491173088550567,0.3532380393391527,0.3468280171739489,449944000,0.0,0.0,0.0,0.006578975042289798,0.01831313273684106,0.99760258901776,0.002397410981918859,0
2012-03-02,0.3520933985710144,0.3571298348839068,0.3479726680275533,684076000,0.0,0.0,0.0,0.008488483003565427,0.025975462271824908,0.9822884865478765,0.01771151345245106,0
2012-03-05,0.3401890993118286,0.3502620003973068,0.3376708945083438,514848000,0.0,0.0,0.0,-0.03439483980289605,0.03660971074909343,0.7462865418473263,0.253713458153189,0
2012-03-06,0.3369840979576111,0.3390444498018448,0.3310319279556936,471400000,0.0,0.0,0.0,-0.009465895279463978,0.02391638933852128,0.9820935430266583,0.017906456973932474,0
2012-03-07,0.339044451713562,0.340418037811138,0.3342369549530716,441984000,0.0,0.0,0.0,0.006095482613282388,0.018324197933615827,0.9981406585955025,0.0018593414044315892,0
2012-03-08,0.3401890993118286,0.3436230645720589,0.3381287474462036,430852000,0.0,0.0,0.0,0.0033704126661815766,0.016118581526054342,0.9987866233072686,0.0012133766926194574,0
2012-03-09,0.3392733335494995,0.3436230039176699,0.337441894830823,367836000,0.0,0.0,0.0,-0.002695561292395881,0.0181518055447256,0.998618534249043,0.0013814657518528867,0
2012-03-12,0.3340079188346863,0.3429361713216201,0.3330922132265159,299948000,0.0,0.0,0.0,-0.015641374375150136,0.029124972165546763,0.9934668161636612,0.00653318383678438,0
2012-03-13,0.3385865092277527,0.3404179477766335,0.3337789864482538,553288000,0.0,0.0,0.0,0.013614924323263868,0.01969506413311972,0.9940462311137005,0.005953768886048494,0
2012-03-14,0.3289714455604553,0.3392732552744177,0.3278268000366817,735708000,0.0,0.0,0.0,-0.02880867071559145,0.03432042519403869,0.9284928663031586,0.07150713369639317,0
2012-03-15,0.3337790071964264,0.3356104458591519,0.3287425713418115,382380000,0.0,0.0,0.0,0.014508163496637926,0.020676113472076096,0.994368634597293,0.005631365402893091,0
2012-03-16,0.3342369198799133,0.335610478542842,0.3321765409497551,428340000,0.0,0.0,0.0,0.0013709635852940498,0.010284619979335111,0.9980128319804903,0.0019871680191795274,0
2012-03-19,0.3351526260375976,0.337670857858272,0.333550127283764,405400000,0.0,0.0,0.0,0.002735945711943599,0.012278466960849135,0.9984638558637022,0.0015361441363301374,0
2012-03-20,0.3296582996845245,0.3333211496679807,0.3266822153107427,449616000,0.0,0.0,0.0,-0.016529365678390553,0.02011855889617257,0.9976458156290917,0.0023541843700988054,0
2012-03-21,0.3310319185256958,0.3340080034418758,0.3259954818239746,467840000,0.0,0.0,0.0,0.004158138814469447,0.0242814332554284,0.9984306305860424,0.0015693694147986075,0
2012-03-22,0.3305739760398865,0.3333211201064672,0.327597891930047,425372000,0.0,0.0,0.0,-0.001384336393323502,0.01731943289393554,0.9988294040322311,0.001170595968148123,0
2012-03-23,0.3330922126770019,0.3340079182836616,0.3273689571186113,315456000,0.0,0.0,0.0,0.007588901666693759,0.020076856065771167,0.9987245156255032,0.0012754843737870954,0
2012-03-26,0.3369840979576111,0.3385865968687387,0.3330923070904402,288600000,0.0,0.0,0.0,0.011616375577085055,0.016360234910628695,0.9985107228811646,0.0014892771191068956,0
2012-03-27,0.3392733335494995,0.3433940638438947,0.3376708349045981,419968000,0.0,0.0,0.0,0.006770333987067923,0.016807102152409884,0.9985115537916625,0.0014884462084260033,0
2012-03-28,0.3470569550991058,0.3516355384328365,0.3411047858490521,892448000,0.0,0.0,0.0,0.02268282605367535,0.03040551705995792,0.9928614499908313,0.007138550008921941,0
2012-03-29,0.3486593663692474,0.3514065102224413,0.3422493458514599,372700000,0.0,0.0,0.0,0.004606515771699118,0.02640414926194737,0.997717995932967,0.0022820040671445887,0
2012-03-30,0.3525513112545013,0.3546116905209626,0.3465991681625915,527240000,0.0,0.0,0.0,0.011100757519436084,0.022854384002789885,0.9982737430889291,0.00172625691153863,0
2012-04-02,0.3509488701820373,0.3546117490668055,0.3459124321833705,407776000,0.0,0.0,0.0,-0.0045556316434298355,0.024837869536551944,0.9971945177456844,0.0028054822547314063,0
2012-04-03,0.3452254235744476,0.3539247350298638,0.343393985274807,430476000,0.0,0.0,0.0,-0.016442938535564118,0.030205844524528416,0.9813034612791796,0.018696538720532473,0
2012-04-04,0.3353815674781799,0.3443097943501603,0.3333211885373697,495896000,0.0,0.0,0.0,-0.028928714276666923,0.03243526181706632,0.9452956467580139,0.05470435324268382,0
2012-04-05,0.3349237143993377,0.3399601507676284,0.3337790412391929,369424000,0.0,0.0,0.0,-0.0013661033634255442,0.01834918623893258,0.9964819543991806,0.003518045600107652,0
2012-04-09,0.3305739760398865,0.3317186216751705,0.3241639550241948,365504000,0.0,0.0,0.0,-0.013072322756570881,0.023037662663688653,0.9955567031985506,0.00444329680210644,0
2012-04-10,0.3241640329360962,0.3337790531253239,0.3225615341196434,470360000,0.0,0.0,0.0,-0.0195808027530744,0.034185334981624946,0.9709471439600188,0.02905285603963625,0
2012-04-11,0.3282848000526428,0.335381616399785,0.327369066848536,372960000,0.0,0.0,0.0,0.012631862306644938,0.02418085766102432,0.9872445389191238,0.012755461081430617,0
2012-04-12,0.3360682725906372,0.3378996836718396,0.3273689335024102,384868000,0.0,0.0,0.0,0.023432807077092225,0.03166128563408487,0.9049827663241707,0.09501723367522115,0
2012-04-13,0.3241640329360962,0.3349237263262316,0.3239350928378124,311324000,0.0,0.0,0.0,-0.0360646693837372,0.033359658317230166,0.6560909404855096,0.3439090595150431,0
2012-04-16,0.320272296667099,0.3273690861419751,0.315006919127342,463468000,0.0,0.0,0.0,-0.012078101127507564,0.03849363412009664,0.7663320846527811,0.23366791534673031,0
2012-04-17,0.3209589421749115,0.3250796720651625,0.3198142964993143,460696000,0.0,0.0,0.0,0.002141647906933055,0.016329793201233928,0.9794782008931455,0.02052179910679571,0
2012-04-18,0.3175249397754669,0.3205010233773988,0.3136331507377867,400764000,0.0,0.0,0.0,-0.010756843230454866,0.0216614762707174,0.9562658814644319,0.04373411853470961,0
2012-04-19,0.3127175569534302,0.3253086612881952,0.3111150309329614,667188000,0.0,0.0,0.0,-0.015255956516747373,0.04461174048987467,0.42313648804940845,0.5768635119506275,0
2012-04-20,0.3065364360809326,0.3154646897407196,0.3058496431393323,509592000,0.0,0.0,0.0,-0.019963782979185444,0.03095313840039375,0.5752665956164197,0.424733404383258,0
2012-04-23,0.3028735518455505,0.3042471376981817,0.2955478243093696,706244000,0.0,0.0,0.0,-0.012021228460669527,0.029009658347863284,0.5706839882122047,0.4293160117886406,0
2012-04-24,0.2934874296188354,0.3063074998704937,0.2918849310713181,730440000,0.0,0.0,0.0,-0.03148058865153358,0.04822984598632927,0.030118100010896535,0.969881899988378,1
2012-04-25,0.2994396984577179,0.3017289906602749,0.2923428817135848,727112000,0.0,0.0,0.0,0.02007824746135907,0.031601866750144585,0.8041245197089291,0.19587548029196936,0
2012-04-26,0.299668550491333,0.3021867820899894,0.2971503188926765,539208000,0.0,0.0,0.0,0.0007639756092409955,0.01680717495150778,0.991210529442706,0.00878947055696989,0
2012-04-27,0.2971502542495727,0.3010420708354948,0.2939452577216976,475356000,0.0,0.0,0.0,-0.008439114744859106,0.023856473423398004,0.9975795448370485,0.0024204551637732065,0
2012-04-30,0.2976082563400268,0.299210782698627,0.2934875249574409,262268000,0.0,0.0,0.0,0.0015401282128156375,0.019313149921329317,0.9971470689976129,0.0028529310026024204,0
2012-05-01,0.3028735518455505,0.306078576404854,0.2960056771634107,408680000,0.0,0.0,0.0,0.017537352112976842,0.03346322087911845,0.9570566538266384,0.04294334617318634,0
2012-05-02,0.2941742241382599,0.3028735371036463,0.2925717255818613,684008000,0.0,0.0,0.0,-0.0291432068342343,0.03460549681571859,0.8480990784926501,0.15190092150808812,0
2012-05-03,0.2891378998756408,0.2966925700288417,0.2873064605520592,419536000,0.0,0.0,0.0,-0.017268454424694116,0.03214703208927414,0.9127917381549453,0.08720826184437158,0
2012-05-04,0.2806674838066101,0.288908946747227,0.2806674838066101,545092000,0.0,0.0,0.0,-0.02973309951124461,0.028940938316268427,0.9293647651942761,0.07063523480522833,0
2012-05-07,0.285474956035614,0.2905114198479341,0.2831856642265634,604440000,0.0,0.0,0.0,0.01698366858841479,0.02554014665830671,0.981575390040967,0.01842460995931444,0
2012-05-08,0.2852460443973541,0.287077456019687,0.2779202887459779,462312000,0.0,0.0,0.0,-0.000802184080703578,0.032417719503998084,0.9472318332729536,0.05276816672655907,0
2012-05-09,0.2863906621932983,0.2886799537869994,0.2774624086035588,520608000,0.0,0.0,0.0,0.004004708978620319,0.03963318860156142,0.736351563390963,0.2636484366084291,0
2012-05-10,0.2843304276466369,0.2895958064417695,0.2797518421361777,597092000,0.0,0.0,0.0,-0.007219791006639816,0.034583247780426235,0.5622571056117994,0.43774289438873276,0
2012-05-11,0.3024156987667084,0.313175390926469,0.3012710529872026,1435140000,0.0,0.0,0.0,0.06166551739432304,0.03875302020022875,0.010072609533512336,0.9899273904666287,1
2012-05-14,0.3005841672420501,0.3051627489462231,0.2937162946857907,437472000,0.0,0.0,0.0,-0.006074751456031851,0.03823092001439213,0.23364027992064254,0.7663597200790173,1
2012-05-15,0.2976082563400268,0.3072233053295659,0.2962346974061752,599940000,0.0,0.0,0.0,-0.009949759760786466,0.036422825308962445,0.4039242674020689,0.5960757325977887,1
2012-05-16,0.291655957698822,0.3014999142888209,0.2907402249401588,470484000,0.0,0.0,0.0,-0.020203165097894403,0.036339561205304155,0.48176214099822456,0.518237859002538,1
2012-05-17,0.2895957231521606,0.2955478935200837,0.2895957231521606,335364000,0.0,0.0,0.0,-0.007088988272738216,0.020345007641800972,0.6476961873039943,0.3523038126965129,1
2012-05-18,0.2765466570854187,0.2916560187994475,0.2751730985954209,567288000,0.0,0.0,0.0,-0.04610634383499557,0.0581747409655267,8.304709843794066e-06,0.9999916952910243,1
2012-05-21,0.2813542187213897,0.2827278046908038,0.2751731364400474,416260000,0.0,0.0,0.0,0.01723489188721997,0.027084127301669748,0.6489657957630364,0.3510342042374315,0
2012-05-22,0.2779202461242676,0.2815831233882186,0.2737995160249494,410140000,0.0,0.0,0.0,-0.01228025224740168,0.028031546107903087,0.6352697785759175,0.3647302214249743,0
2012-05-23,0.2847881615161896,0.2852460417079669,0.2708234706392421,496000000,0.0,0.0,0.0,0.02441142287750904,0.05188490330291936,0.007387806934067512,0.9926121930653333,1
2012-05-24,0.2772334516048431,0.286848497543864,0.2751731002124854,520420000,0.0,0.0,0.0,-0.02688567414381209,0.04155383829705254,0.04151173694766211,0.9584882630522242,1
2012-05-25,0.2838724553585052,0.2861617471524842,0.2770045799765682,391752000,0.0,0.0,0.0,0.023665099614842963,0.03252316017913697,0.7098089550102126,0.2901910449906196,0
2012-05-29,0.2911981344223022,0.2930295730060345,0.2873063444884374,310000000,0.0,0.0,0.0,0.025478873350307765,0.019724486795535755,0.9551646733868425,0.04483532661381884,0
2012-05-30,0.2877642214298248,0.2900535130287336,0.282727785370327,379792000,0.0,0.0,0.0,-0.011862440538004176,0.02558088806245905,0.9820248984865696,0.017975101513372102,0
2012-05-31,0.2845591902732849,0.288908832877833,0.2808963132343458,358192000,0.0,0.0,0.0,-0.011200187150516643,0.028125571984387476,0.9248470739047409,0.07515292609499931,0
2012-06-01,0.274257481098175,0.2813542984674604,0.2737996280754349,440984000,0.0,0.0,0.0,-0.036873904924407834,0.027218169297275458,0.43313253387577616,0.5668674661243306,1
2012-06-04,0.2685342133045196,0.2772335287070453,0.2662449212138821,432856000,0.0,0.0,0.0,-0.02108904748811188,0.04044357334423625,0.18941713130107712,0.8105828686982038,1
2012-06-05,0.2763177156448364,0.2770045084638267,0.2671605508329756,365224000,0.0,0.0,0.0,0.028573017615905454,0.036183990432959834,0.22123905972001778,0.7787609402805034,1
