Date,Close,High,Low,Volume,Argument_Similarity,Sentiment_Variance,Volume_Crowd
2012-01-03,1.871999979019165,1.9666670560836792,1.8433330059051514,13921500,0.0,0.0,0.0
2012-01-04,1.8473329544067383,1.9113329648971558,1.8333330154418945,9451500,0.0,0.0,0.0
2012-01-05,1.8079999685287476,1.8619999885559082,1.7899999618530273,15082500,0.0,0.0,0.0
2012-01-06,1.7940000295639038,1.852666974067688,1.7606669664382935,14794500,0.0,0.0,0.0
2012-01-09,1.8166669607162476,1.8326669931411743,1.7413330078125,13455000,0.0,0.0,0.0
2012-01-10,1.841333031654358,1.8506669998168945,1.8166669607162476,10077000,0.0,0.0,0.0
2012-01-11,1.8819999694824219,1.8919999599456787,1.8200000524520874,10084500,0.0,0.0,0.0
2012-01-12,1.8833329677581787,1.9079999923706055,1.8539999723434448,10939500,0.0,0.0,0.0
2012-01-13,1.519333004951477,1.899999976158142,1.5093330144882202,82506000,0.0,0.0,0.0
2012-01-17,1.773332953453064,1.8226670026779175,1.7606669664382935,69774000,0.0,0.0,0.0
2012-01-18,1.7873330116271973,1.7920000553131104,1.75,18903000,0.0,0.0,0.0
2012-01-19,1.784000039100647,1.8493330478668213,1.7740000486373901,18694500,0.0,0.0,0.0
2012-01-20,1.773332953453064,1.7999999523162842,1.7599999904632568,9934500,0.0,0.0,0.0
2012-01-23,1.7846670150756836,1.8140000104904175,1.773332953453064,8919000,0.0,0.0,0.0
2012-01-24,1.8279999494552612,1.8453329801559448,1.762666940689087,12870000,0.0,0.0,0.0
2012-01-25,1.8646670579910278,1.8673330545425415,1.803333044052124,9168000,0.0,0.0,0.0
2012-01-26,1.929332971572876,1.972000002861023,1.8666670322418213,19066500,0.0,0.0,0.0
2012-01-27,1.9553329944610596,1.9813330173492432,1.899999976158142,11226000,0.0,0.0,0.0
2012-01-30,1.9713330268859863,1.9739999771118164,1.9019999504089355,10935000,0.0,0.0,0.0
2012-01-31,1.937999963760376,2.0,1.9246670007705688,14346000,0.0,0.0,0.0
2012-02-01,1.972000002861023,1.9800000190734863,1.9333330392837524,7848000,0.0,0.0,0.0
2012-02-02,2.016666889190674,2.058666944503784,1.9739999771118164,12085500,0.0,0.0,0.0
2012-02-03,2.076667070388794,2.0886669158935547,2.016666889190674,11467500,0.0,0.0,0.0
2012-02-06,2.119999885559082,2.126667022705078,2.069999933242798,9781500,0.0,0.0,0.0
2012-02-07,2.1066670417785645,2.119999885559082,2.0546669960021973,15324000,0.0,0.0,0.0
2012-02-08,2.128667116165161,2.134000062942505,2.0859999656677246,9355500,0.0,0.0,0.0
2012-02-09,2.171999931335449,2.1933329105377197,2.0953330993652344,19156500,0.0,0.0,0.0
2012-02-10,2.0733330249786377,2.1513330936431885,1.9893330335617065,28113000,0.0,0.0,0.0
2012-02-13,2.0993330478668213,2.1373329162597656,2.059999942779541,17368500,0.0,0.0,0.0
2012-02-14,2.2113330364227295,2.25266695022583,2.0933330059051514,27162000,0.0,0.0,0.0
2012-02-15,2.240000009536743,2.2939999103546143,2.1513330936431885,41427000,0.0,0.0,0.0
2012-02-16,2.2786669731140137,2.3006670475006104,2.169332981109619,33295500,0.0,0.0,0.0
2012-02-17,2.3313329219818115,2.3313329219818115,2.233333110809326,20650500,0.0,0.0,0.0
2012-02-21,2.299999952316284,2.324666976928711,2.253999948501587,17037000,0.0,0.0,0.0
2012-02-22,2.2813329696655273,2.314666986465454,2.1666669845581055,24819000,0.0,0.0,0.0
2012-02-23,2.302000045776367,2.3313329219818115,2.237333059310913,12306000,0.0,0.0,0.0
2012-02-24,2.25,2.301332950592041,2.2179999351501465,14398500,0.0,0.0,0.0
2012-02-27,2.2413330078125,2.266666889190674,2.200000047683716,9090000,0.0,0.0,0.0
2012-02-28,2.253999948501587,2.2960000038146973,2.2113330364227295,9183000,0.0,0.0,0.0
2012-02-29,2.2273330688476562,2.2746670246124268,2.2093329429626465,8035500,0.0,0.0,0.0
2012-03-01,2.2939999103546143,2.299999952316284,2.2206668853759766,10552500,0.0,0.0,0.0
2012-03-02,2.2693328857421875,2.299999952316284,2.24733304977417,8250000,0.0,0.0,0.0
2012-03-05,2.251332998275757,2.293333053588867,2.2306671142578125,7005000,0.0,0.0,0.0
2012-03-06,2.2073330879211426,2.2186670303344727,2.1746668815612793,8607000,0.0,0.0,0.0
2012-03-07,2.2079999446868896,2.2206668853759766,2.194000005722046,5473500,0.0,0.0,0.0
2012-03-08,2.204667091369629,2.2326669692993164,2.202666997909546,9499500,0.0,0.0,0.0
2012-03-09,2.315999984741211,2.3540000915527344,2.2133328914642334,23301000,0.0,0.0,0.0
2012-03-12,2.4006669521331787,2.419332981109619,2.3066670894622803,29449500,0.0,0.0,0.0
2012-03-13,2.4059998989105225,2.439332962036133,2.3666670322418213,15024000,0.0,0.0,0.0
2012-03-14,2.3526670932769775,2.4000000953674316,2.319999933242798,12772500,0.0,0.0,0.0
2012-03-15,2.3333330154418945,2.365333080291748,2.318666934967041,8574000,0.0,0.0,0.0
2012-03-16,2.3546669483184814,2.392667055130005,2.322000026702881,10939500,0.0,0.0,0.0
2012-03-19,2.3320000171661377,2.3546669483184814,2.3026669025421143,15234000,0.0,0.0,0.0
2012-03-20,2.330667018890381,2.3466670513153076,2.3046669960021973,8505000,0.0,0.0,0.0
2012-03-21,2.3433330059051514,2.353332996368408,2.3066670894622803,9108000,0.0,0.0,0.0
2012-03-22,2.293333053588867,2.3433330059051514,2.2866671085357666,7836000,0.0,0.0,0.0
2012-03-23,2.2720000743865967,2.308666944503784,2.2100000381469727,17559000,0.0,0.0,0.0
2012-03-26,2.493333101272583,2.5393331050872803,2.3359999656677246,47107500,0.0,0.0,0.0
2012-03-27,2.5293331146240234,2.663332939147949,2.4686670303344727,38088000,0.0,0.0,0.0
2012-03-28,2.5233330726623535,2.562666893005371,2.4739999771118164,14325000,0.0,0.0,0.0
2012-03-29,2.4886670112609863,2.5460000038146973,2.4686670303344727,11946000,0.0,0.0,0.0
2012-03-30,2.4826669692993164,2.5293331146240234,2.4453330039978027,13296000,0.0,0.0,0.0
2012-04-02,2.438667058944702,2.5313329696655273,2.435333013534546,15429000,0.0,0.0,0.0
2012-04-03,2.5339999198913574,2.564666986465454,2.444667100906372,16471500,0.0,0.0,0.0
2012-04-04,2.3333330154418945,2.365999937057495,2.312666893005371,67227000,0.0,0.0,0.0
2012-04-05,2.2986669540405273,2.3626670837402344,2.2939999103546143,22641000,0.0,0.0,0.0
2012-04-09,2.2100000381469727,2.2860000133514404,2.206666946411133,24835500,0.0,0.0,0.0
2012-04-10,2.1640000343322754,2.256666898727417,2.140000104904175,27715500,0.0,0.0,0.0
2012-04-11,2.2060000896453857,2.2193329334259033,2.134000062942505,16582500,0.0,0.0,0.0
2012-04-12,2.22933292388916,2.2986669540405273,2.194667100906372,15508500,0.0,0.0,0.0
2012-04-13,2.239332914352417,2.2693328857421875,2.190000057220459,9744000,0.0,0.0,0.0
2012-04-16,2.1500000953674316,2.24666690826416,2.1393330097198486,16494000,0.0,0.0,0.0
2012-04-17,2.1493330001831055,2.204667091369629,2.135999917984009,16732500,0.0,0.0,0.0
2012-04-18,2.177333116531372,2.183332920074463,2.1019999980926514,12346500,0.0,0.0,0.0
